text_id,title_tl,title_ar,au_id_id,genre_id,perm,permbib,pdf,pg_rng,word_len,source,contrib
1,Kitāb al-ʿIlm,كتاب العلم,1,Sufism,https://www.worldcat.org/title/12692418,"al-Muḥāsibī, al-Ḥārith b. Asad. <em>Kitāb al-ʿIlm</em>. Edited by Muḥammad al-ʿĀbid Mazālī. Tunis: al-Dār al-Tunisiyya li-l-Nashr, 1975",https://archive.org/details/elmohasebi/3ilm/,81-99,1543,OCR,A. Musto
2,Sharḥ al-Maʿrifa,شرح المعرفة,1,Sufism,http://www.worldcat.org/oclc/745277416,"al-Muḥāsibī, al-Ḥārith b. Asad. <em>Sharḥ al-Maʿrifa</em>. Edited by Ṣāliḥ Aḥmad al-Shāmī. Damascus: Dār al-Qalam, 1993",https://archive.org/details/elmohasebi/char7ma3rifa/,17-77,4600,OCR,A. Musto
3,Mā'iyyat al-ʿAql,مائية العقل,1,Sufism,http://www.worldcat.org/oclc/1033847299,"al-Muḥāsibī, al-Ḥārith b. Asad. <em>al-ʿAql wa-fahm al-Qurʿān</em>. Edited by Ḥusayn Qūwatlī. Beirut: Dār al-Fikr, 1971",https://archive.org/details/elmohasebi/3ql/,201-238,4323,OITI,A. Musto
4,Risāla ilā baʿḍ Ikhwāni-hi,رسالة إلى بعض إخوانه,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,1,163,OCR,A. Musto
5,Risāla ilā Yaḥyā b. Muʿādh al-Rāzī,رسالة إلى يحيى بن معاذ الرازي,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,2,126,OCR,A. Musto
6,Risāla li-Abī al-Qāsim ilā baʿḍ Ikhwāni-hi,رسالة لأبي القاسم الجنيد إلى,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,5-Mar,708,OCR,A. Musto
7,Kitāb ilā ʿAmr b. ʿUthmān al-Makkī,كتاب إلى عمرو بن عثمان المكي,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,23-Jun,4245,OCR,A. Musto
8,Kitāb ilā Yūsuf b. al-Ḥusayn al-Rāzī,كتاب إلى أبي يعقوب يسوف بن الحسين,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,26-28,901,OCR,A. Musto
9,Kitāb al-Fanā',كتاب الفناء,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,32-37,1518,OCR,A. Musto
10,Kitāb al-Mīthāq,كتاب الميثاق,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,42-44,775,OCR,A. Musto
